City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,balakhta,55.38,91.6,-9.07,67,100,7.03,RU,1731437024
217,keflavik,64.0049,-22.5624,7.24,70,75,18.01,IS,1731437025
218,fortuna,40.5982,-124.1573,13.88,83,0,6.17,US,1731437026
219,mont-laurier,46.5501,-75.4993,2.76,50,85,4.54,CA,1731437027
220,pumiao,22.75,108.4833,22.29,78,100,1.52,CN,1731437028
221,hanawa,40.1836,140.7872,4.21,86,8,1.04,JP,1731437029
222,rawai,7.7797,98.3253,30.55,86,100,3.04,TH,1731437030
223,villamontes,-21.25,-63.5,26.69,36,75,2.57,BO,1731437032
224,khash,28.2211,61.2158,16.02,28,0,1.88,IR,1731437033
225,ust'-kulom,61.6864,53.6902,-5.95,98,100,0.48,RU,1731437034
226,los llanos de aridane,28.6585,-17.9182,19.86,88,20,5.14,ES,1731437035
227,puerto leguizamo,-0.1934,-74.7819,33.86,44,96,1.51,CO,1731437036
228,cabo san lucas,22.8909,-109.9124,28.75,55,0,2.57,MX,1731436951
229,jijiga,9.35,42.8,17.27,68,96,3.03,ET,1731437038
230,as sulayyil,20.4607,45.5779,22.62,26,0,3.61,SA,1731437039
231,quixada,-4.9714,-39.0153,35.53,27,55,2.63,BR,1731437040
232,saint-pierre,-21.3393,55.4781,22.82,73,18,1.54,RE,1731437041
233,taroa,8.7058,171.2275,28.1,77,38,5.59,MH,1731437043
234,vila velha,-20.3297,-40.2925,30.97,74,20,7.2,BR,1731437044
235,shibetsu,43.659,145.132,3.04,66,0,10.27,JP,1731437045
236,perry,37.2506,-83.1999,13.81,43,8,3.75,US,1731437046
237,namtsy,62.7161,129.6658,-21.69,99,93,1.88,RU,1731437047
238,masterton,-40.9597,175.6575,11.61,90,9,1.17,NZ,1731437048
239,mezhdurechenskiy,59.6,65.9333,-10.4,97,98,1.85,RU,1731437049
240,hadibu,12.65,54.0333,25.72,72,0,4.23,YE,1731437050
241,princeville,45.7668,-61.2985,9.17,98,100,2.06,CA,1731437051
242,leesville,31.1435,-93.261,25.13,50,0,1.54,US,1731437053
243,anadyr,64.75,177.4833,-1.72,80,40,11.0,RU,1731437054
244,oamaru,-45.0784,170.9801,9.62,79,8,1.7,NZ,1731437055
245,tura,25.5198,90.2201,18.33,89,0,1.61,IN,1731437056
246,nizhniy kuranakh,58.8353,125.4869,-18.58,95,54,1.34,RU,1731437057
247,fraserburgh,57.6874,-2.0184,9.31,71,32,2.65,GB,1731437058
248,el bauga,18.262,33.9081,29.29,34,0,4.6,SD,1731437059
249,fort mcmurray,56.7268,-111.381,1.77,80,100,7.2,CA,1731436921
250,talara,-4.5772,-81.2719,24.42,64,0,5.66,PE,1731437063
251,masina,-4.3836,15.3914,25.8,76,42,0.65,CD,1731437064
252,korla,41.7597,86.1469,7.23,53,96,0.99,CN,1731437065
253,nicoya,10.1483,-85.452,23.73,95,100,0.28,CR,1731437066
254,rio grande,-32.035,-52.0986,18.51,55,41,5.29,BR,1731437067
255,xilin hot,43.9667,116.0333,2.81,61,0,4.02,CN,1731437068
256,bodo,67.28,14.405,7.19,88,75,6.17,NO,1731437069
257,feni,23.0186,91.41,21.93,77,100,2.41,BD,1731437071
258,kakonko,-3.2828,30.9642,18.99,75,0,1.81,TZ,1731437072
259,niamey,13.5137,2.1098,32.16,19,0,2.06,NE,1731437073
260,neijiang,29.5835,105.0622,17.25,92,100,1.25,CN,1731437074
261,iskateley,67.6803,53.1512,-7.74,95,100,5.92,RU,1731437075
262,thompson,55.7435,-97.8558,4.09,75,100,3.6,CA,1731437077
263,okondja,-0.6549,13.6753,24.15,89,93,0.25,GA,1731437078
264,kotel'nich,58.3089,48.348,-1.57,84,100,3.45,RU,1731437080
265,algeciras,36.1333,-5.4505,17.82,84,20,2.57,ES,1731437081
266,banda aceh,5.5577,95.3222,26.37,82,100,2.7,ID,1731437082
267,helena valley west central,46.6629,-112.0604,8.73,47,75,7.2,US,1731437083
268,mukharram al fawqani,34.8151,37.0861,16.27,74,0,1.5,SY,1731437085
